run_id,model,task,image_size,augmentation,pretrained,seed,script_filter,num_classes,n_train,n_test,accuracy,balanced_accuracy,macro_f1,weighted_f1,top5_accuracy,cohen_kappa,val_macro_f1,num_params,epochs_run,train_seconds
resnet18__unified__sz64__aug-heavy__pt__s1,resnet18,unified,64,heavy,True,1,,889,69552,13911,0.9874919128747035,0.9789561688668297,0.9789027718958043,0.9874027713321301,0.9990654877435123,0.9874590123725492,0.982152802009417,11632569,40,1896.0810945034027
resnet18__unified__sz64__aug-heavy__pt__s2,resnet18,unified,64,heavy,True,2,,889,69552,13911,0.9870605995255554,0.9771597883347002,0.9766979097494528,0.9869159722405154,0.9991373733017037,0.9870265777650626,0.9812035799313871,11632569,40,2092.952866792679
resnet18__unified__sz64__aug-heavy__scratch__s0,resnet18,unified,64,heavy,False,0,,889,69552,13911,0.9850478038961973,0.9744445923717473,0.973939757095275,0.9849854317662106,0.9987060599525556,0.9850084643074484,0.9766276929519075,11632569,40,1891.948454618454
resnet18__unified__sz64__aug-heavy__scratch__s1,resnet18,unified,64,heavy,False,1,,889,69552,13911,0.9831068938250306,0.9698425066327746,0.9697542360169592,0.9829528279023332,0.9985622888361728,0.9830624329120878,0.9755887071195294,11632569,40,1952.7109115123749
resnet18__unified__sz64__aug-heavy__scratch__s2,resnet18,unified,64,heavy,False,2,,889,69552,13911,0.9855510028035368,0.9757778991242919,0.9760338074389521,0.9854786428266571,0.9987060599525556,0.9855129553931916,0.9756907744947918,11632569,40,2010.806226491928
resnet18__unified__sz64__aug-light__pt__s0,resnet18,unified,64,light,True,0,,889,69552,13911,0.9895765940622528,0.9819231108491764,0.9829326763565464,0.9894365480181049,0.9987060599525556,0.9895491245625372,0.985430737916731,11632569,40,1241.786295890808
resnet18__unified__sz64__aug-light__pt__s1,resnet18,unified,64,light,True,1,,889,69552,13911,0.9890733951549133,0.9808387329496695,0.9814481198590355,0.9889914450277604,0.9984185177197901,0.989044621848679,0.9830199724150945,11632569,40,1307.5931658744812
resnet18__unified__sz64__aug-light__pt__s2,resnet18,unified,64,light,True,2,,889,69552,13911,0.9887139673639566,0.9808949813351153,0.9813715264171252,0.9886099266014384,0.9984185177197901,0.9886842859689305,0.9835137386708044,11632569,35,1173.2503170967102
resnet18__unified__sz64__aug-light__scratch__s0,resnet18,unified,64,light,False,0,,889,69552,13911,0.9860542017108763,0.9748031596209493,0.9751207783886944,0.9859212941000127,0.9981309754870247,0.9860174736115327,0.978327060678485,11632569,40,1270.9443564414978
resnet18__unified__sz64__aug-light__scratch__s1,resnet18,unified,64,light,False,1,,889,69552,13911,0.9861260872690677,0.9737874067758304,0.9737070939053014,0.9859877684896751,0.998202861045216,0.9860895424357701,0.9781323476818694,11632569,40,1368.1708734035492
resnet18__unified__sz64__aug-light__scratch__s2,resnet18,unified,64,light,False,2,,889,69552,13911,0.9861260872690677,0.9760742612098201,0.9760357672591263,0.9859585743303729,0.9982747466034074,0.9860895536069365,0.9794464786854455,11632569,40,1334.7858803272247
resnet18__unified__sz64__aug-medium__pt__s0,resnet18,unified,64,medium,True,0,,889,69552,13911,0.9890015095967221,0.9792768543562343,0.9797650224789913,0.9889063064895768,0.9986341743943642,0.9889725718459987,0.9826664148402388,11632569,40,1418.291648387909
resnet18__unified__sz64__aug-medium__pt__s1,resnet18,unified,64,medium,True,1,,889,69552,13911,0.9832506649414132,0.973547647981046,0.9737914123152542,0.9831324076699907,0.9984185177197901,0.9832065329979928,0.9797333245226201,11632569,26,957.0193288326263
resnet18__unified__sz64__aug-medium__pt__s2,resnet18,unified,64,medium,True,2,,889,69552,13911,0.9888577384803393,0.9820703031963252,0.9820360200546387,0.9887904500767466,0.9987060599525556,0.9888284073513013,0.9828250388343022,11632569,40,1503.193308353424
resnet18__unified__sz64__aug-medium__scratch__s0,resnet18,unified,64,medium,False,0,,889,69552,13911,0.9863417439436417,0.9748099322450469,0.9753412791234011,0.9862475484512903,0.9980590899288333,0.9863058039886369,0.9782683479221997,11632569,40,1477.7398846149445
resnet18__unified__sz64__aug-medium__scratch__s1,resnet18,unified,64,medium,False,1,,889,69552,13911,0.9851196894543887,0.974109673430783,0.974008783198027,0.98502250807044,0.9981309754870247,0.9850805332008014,0.9778984080044739,11632569,40,1543.8547568321228
resnet18__unified__sz64__aug-medium__scratch__s2,resnet18,unified,64,medium,False,2,,889,69552,13911,0.9863417439436417,0.9758725754801687,0.9756366324831028,0.9862045716145829,0.9980590899288333,0.9863057853283864,0.9772273077131153,11632569,40,1589.3657958507538
resnet18__unified__sz64__aug-none__pt__s0,resnet18,unified,64,none,True,0,,889,69552,13911,0.9892171662712961,0.9816692815086756,0.9820970532168537,0.9891021307598857,0.9985622888361728,0.9891887651755393,0.9815091150575487,11632569,40,1209.303994178772
resnet18__unified__sz64__aug-none__pt__s1,resnet18,unified,64,none,True,1,,889,69552,13911,0.9877794551074689,0.9784212395629693,0.9781894539291706,0.9874751937426277,0.9985622888361728,0.987747251010713,0.9825940012380251,11632569,40,1219.651044368744
resnet18__unified__sz64__aug-none__pt__s2,resnet18,unified,64,none,True,2,,889,69552,13911,0.9884264251311912,0.9785085747703703,0.9791184210228918,0.9883138781106396,0.9984185177197901,0.9883959326909165,0.9836253519397252,11632569,40,1319.1155273914337
resnet18__unified__sz64__aug-none__scratch__s0,resnet18,unified,64,none,False,0,,889,69552,13911,0.9821723815685429,0.9675321034894538,0.9679813747384874,0.9819848775640899,0.9980590899288333,0.9821253801738973,0.9728065803906297,11632569,40,1186.1619009971619
resnet18__unified__sz64__aug-none__scratch__s1,resnet18,unified,64,none,False,1,,889,69552,13911,0.9825318093594997,0.9648747501651146,0.9655683584495383,0.9823131550314571,0.9983466321615987,0.9824857528512949,0.9720243576507644,11632569,40,1233.8110799789429
resnet18__unified__sz64__aug-none__scratch__s2,resnet18,unified,64,none,False,2,,889,69552,13911,0.9826036949176911,0.9670074257140038,0.9675984323153635,0.982411926526338,0.9977715476960679,0.9825578350817205,0.972215204526791,11632569,40,1294.9940247535706
resnet18__unified__sz96__aug-medium__pt__s0,resnet18,unified,96,medium,True,0,,889,69552,13911,0.990798648551506,0.9856457261317666,0.9860917603689646,0.9907566253926439,0.9991373733017037,0.990774445405267,0.9916258794308168,11632569,40,3113.5461752414703
resnet18__unified__sz96__aug-medium__pt__s1,resnet18,unified,96,medium,True,1,,889,69552,13911,0.9923082452735246,0.9888719833893629,0.9890124516648809,0.9922533284830365,0.9992092588598951,0.9922880105186012,0.9887978866640341,11632569,35,2798.651207447052
resnet18__unified__sz96__aug-medium__pt__s2,resnet18,unified,96,medium,True,2,,889,69552,13911,0.9924520163899073,0.9887889905012942,0.9886831152015023,0.9924046842404506,0.9991373733017037,0.9924321616975692,0.9913470580500279,11632569,40,3266.6773540973663
